x_resol,y_resol,w_values,h_values,target
320,240,190,190,21
320,240,179,179,22
320,240,166,166,22
320,240,159,159,26
320,240,157,157,27
320,240,150,150,29
320,240,146,146,26
320,240,135,135,24
320,240,125,125,35
320,240,121,121,37
320,240,118,118,45
320,240,114,114,48
320,240,110,110,54
320,240,113,113,48
320,240,109,109,50
320,240,107,107,25
320,240,102,102,166
320,240,99,99,53
320,240,99,99,31
320,240,101,101,31
320,240,97,97,36
320,240,94,94,38
320,240,95,95,40
320,240,98,98,43
320,240,95,95,43
320,240,96,96,46
320,240,94,94,48
320,240,90,90,51
320,240,90,90,71
320,240,87,87,57
320,240,84,84,57
320,240,83,83,58
320,240,82,82,58
320,240,79,79,60
320,240,77,77,62
320,240,76,76,63
320,240,76,76,64
320,240,76,76,64
320,240,75,75,65
320,240,73,73,66
320,240,72,72,69
320,240,73,73,69
320,240,73,73,75
320,240,71,71,72
320,240,69,69,74
320,240,67,67,73
320,240,68,68,75
320,240,65,65,76
320,240,64,64,79
320,240,64,64,81
320,240,62,62,84
320,240,60,60,85
320,240,61,61,86
320,240,61,61,88
320,240,59,59,91
320,240,59,59,91
320,240,57,57,92
320,240,55,55,93
320,240,58,58,93
320,240,56,56,94
320,240,56,56,95
320,240,56,56,97
320,240,57,57,100
320,240,55,55,101
320,240,55,55,105
320,240,53,53,103
320,240,52,52,107
320,240,53,53,112
320,240,51,51,117
320,240,52,52,111
320,240,52,52,110
320,240,51,51,109
320,240,51,51,113
320,240,50,50,120
320,240,51,51,117
320,240,50,50,113
320,240,48,48,111
320,240,48,48,113
320,240,48,48,111
320,240,48,48,111
320,240,49,49,112
320,240,48,48,112
320,240,46,46,118
320,240,48,48,127
320,240,49,49,128
320,240,47,47,129
320,240,47,47,130
320,240,47,47,136
320,240,49,49,133
320,240,47,47,137
320,240,48,48,267
320,240,48,48,118
320,240,47,47,122
320,240,46,46,139
320,240,47,47,124
320,240,46,46,120
320,240,47,47,138
320,240,47,47,137
320,240,47,47,124
320,240,45,45,125
320,240,44,44,145
320,240,44,44,135
320,240,44,44,150
320,240,44,44,128
320,240,44,44,129
320,240,44,44,134
320,240,43,43,148
320,240,44,44,134
320,240,46,46,151
320,240,45,45,154
320,240,45,45,152
320,240,45,45,154
320,240,45,45,155
320,240,43,43,156
320,240,43,43,157
320,240,43,43,160
320,240,41,41,163
320,240,42,42,165
320,240,41,41,168
320,240,35,35,200
320,240,36,36,191
320,240,33,33,199
320,240,33,33,216
320,240,35,35,206
320,240,34,34,200
320,240,34,34,203
320,240,38,38,192
320,240,39,39,190
320,240,37,37,195
320,240,36,36,188
320,240,37,37,186
320,240,38,38,186
320,240,39,39,196
320,240,38,38,197
320,240,39,39,195
320,240,39,39,195
320,240,40,40,194
320,240,41,41,193
320,240,42,42,192
320,240,43,43,192
320,240,45,45,186
320,240,44,44,186
320,240,46,46,187
320,240,50,50,186
320,240,50,50,180
320,240,50,50,178
320,240,51,51,168
320,240,51,51,158
320,240,52,52,155
320,240,52,52,149
320,240,53,53,167
320,240,54,54,161
320,240,55,55,158
320,240,56,56,148
320,240,57,57,154
320,240,58,58,156
320,240,58,58,139
320,240,59,59,151
320,240,59,59,133
320,240,61,61,137
320,240,62,62,127
320,240,60,60,126
320,240,63,63,122
320,240,64,64,120
320,240,67,67,122
320,240,67,67,123
320,240,69,69,119
320,240,71,71,113
320,240,72,72,118
320,240,74,74,122
320,240,72,72,85
320,240,71,71,85
320,240,72,72,85
320,240,71,71,86
320,240,73,73,86
320,240,72,72,86
320,240,70,70,87
320,240,72,72,88
320,240,70,70,88
320,240,70,70,89
320,240,72,72,90
320,240,69,69,90
320,240,71,71,91
320,240,71,71,90
320,240,72,72,91
320,240,72,72,91
